Student ID,Sex,Campus Name,Major,Student Status,Admission Year,Graduate Year,Expected Graduate Year,Secondary School GPA,GAT Scores,AAT Score,School Name,Student GPA,Last Semester GPA,Math Score,CS Score,English Score,Admission Score,Grade
100069,Female,North Campus,IT,discontinuous,2016,2022,2020,85.01,78,64,School B,3.15,3.64,84,78,84,68,B
100070,Female,North Campus,IT,graduate,2016,2019,2021,75.61,85,87,School C,2.59,2.86,79,53,79,50,C
100071,Female,North Campus,IT,graduate,2015,2021,2021,62.23,74,97,School D,4.48,4,70,99,70,94,A
100072,Male,North Campus,CNET,discontinuous,2022,2025,2026,75.01,72,55,School D,4.69,4,98,75,99,100,A
100073,Female,West Campus,CS,regular,2022,2025,2028,62.09,96,97,School A,4.36,4,77,76,77,100,A
100074,Male,Main Campus,CS,regular,2016,2020,2019,71.28,91,82,School B,2.1,2.31,63,48,63,47,C
100075,Female,Main Campus,,regular,2022,2027,2026,84.21,96,58,School C,4.4,4,94,91,94,90,A
100076,Female,West Campus,CNET,regular,2015,2020,2021,90.54,54,98,School C,3.05,3.32,48,87,48,65,B
100077,Female,North Campus,CNET,discontinuous,2021,2025,2026,66.46,70,81,School A,3.37,2.94,54,62,54,68,B
100078,Male,West Campus,CNET,graduate,2021,2026,2026,75.59,87,83,School D,3.09,2.95,78,75,78,73,B
100079,Female,West Campus,CNET,graduate,2022,2028,2027,63.1,91,69,School A,1.16,0.78,61,66,61,42,D
100080,Male,Main Campus,IT,discontinuous,2017,2022,2022,85.26,74,59,School C,3.71,4,98,99,98,89,B
100081,Female,Main Campus,CS,regular,2016,2022,2020,67.14,61,58,School B,2.7,2.82,35,37,35,61,C
100082,Male,Main Campus,IT,graduate,2016,2021,2019,82.16,85,63,School C,4.11,3.94,58,99,58,87,A
100083,Female,North Campus,CNET,regular,2021,2027,2026,61.01,80,91,School A,3.1,2.66,48,99,48,73,B
100084,Male,Main Campus,IT,regular,2015,2018,2021,88.31,54,94,School A,4.67,4,98,80,99,99,A
100085,Male,Main Campus,CS,regular,2017,2023,2020,74.72,60,81,School C,2.39,2.22,62,36,62,51,C
100086,Female,North Campus,CS,regular,2020,2025,2023,75.42,65,97,School A,2.22,2.45,37,49,37,64,C
100087,Male,West Campus,IT,discontinuous,2016,2022,2019,67.44,78,100,School B,4.01,4,98,99,99,87,A
100088,Female,West Campus,CS,discontinuous,2021,2025,2024,76.11,75,73,School A,1.18,1.57,35,58,35,36,D
100089,Female,Main Campus,CS,discontinuous,2019,2024,2024,78.17,69,65,School D,2.68,2.65,42,60,42,55,C
100090,Female,West Campus,CNET,discontinuous,2018,2021,2023,78.66,64,72,School C,2.04,1.66,48,35,48,53,C
100091,Female,West Campus,IT,graduate,2017,2022,2021,87.58,52,71,School B,4.18,4,98,63,99,87,A
100092,Female,North Campus,IT,graduate,2020,2023,2024,66.14,60,57,School A,2.06,2.32,56,58,56,53,C
100093,Female,North Campus,,graduate,2020,2023,2025,69.09,65,82,School C,3.99,4,58,95,,79,B
100094,Female,Main Campus,CNET,regular,2016,2022,2021,60.35,77,61,School B,2.81,3.08,64,79,64,59,C
100095,Female,West Campus,IT,regular,2015,2020,2018,64.41,66,89,School D,3.01,3,48,43,48,65,B
100096,Female,West Campus,IT,regular,2022,2025,2025,99.21,74,74,School C,3.95,3.97,89,90,89,89,B
100097,Female,North Campus,CNET,discontinuous,2021,2027,2027,66.99,79,84,School D,2.32,2.25,74,37,74,57,C
100098,Female,Main Campus,CS,discontinuous,2021,2024,2025,90.5,69,87,School A,3.35,2.88,50,43,50,66,B
100099,Male,Main Campus,IT,regular,2021,2025,2024,82.95,80,60,School D,4.5,4,92,99,92,115,A
100100,Male,North Campus,CNET,discontinuous,2022,2027,2027,85.82,91,73,School A,1.06,0.59,35,36,35,44,D
100101,Female,Main Campus,CNET,graduate,2015,2019,2019,91.69,73,69,School D,4.01,4,80,82,80,88,A
100102,Female,Main Campus,CNET,regular,2018,2022,2024,92.07,68,95,School A,3.91,3.72,98,99,99,86,B
100103,Female,Main Campus,IT,regular,2020,2024,2025,85.53,61,100,School D,2.56,2.57,80,35,80,54,C
100104,Female,West Campus,IT,graduate,2020,2024,2023,61.45,61,71,School A,3.13,3.54,75,80,75,66,B
100105,Female,North Campus,CS,graduate,2015,2021,2018,71.98,81,81,School C,,2.05,38,39,38,48,C
,Female,Main Campus,CNET,graduate,2015,2019,2018,69.26,98,78,School B,3.98,3.89,69,99,69,84,B
100107,,West Campus,CS,graduate,2019,2025,2022,60.52,59,63,School D,2.53,2.79,76,35,76,62,C
100108,Female,Main Campus,CNET,regular,2019,2025,2023,93.08,59,77,School C,3.89,3.62,74,96,74,87,B
100109,Male,North Campus,IT,regular,2020,2026,2023,89.41,72,94,School C,2.25,1.83,74,35,74,58,C
100110,Female,West Campus,IT,graduate,2016,2020,2020,64.02,70,69,School D,2.25,2.04,78,54,78,56,C
100111,Male,West Campus,CS,regular,2022,2028,2025,95.81,70,73,School C,2.16,1.82,57,74,57,64,C
100112,Female,West Campus,IT,discontinuous,2015,2019,2020,68.49,60,61,School A,4.46,4,92,95,92,97,A
100113,Female,West Campus,IT,graduate,2020,2023,2026,62.97,98,54,,1.2,1.51,35,41,35,38,D
100114,Male,Main Campus,IT,regular,2015,2019,2018,66.44,93,54,School D,4.62,4,98,96,99,93,A
100115,Female,North Campus,CNET,discontinuous,2017,2023,2020,84.62,90,88,School B,1.57,1.94,71,39,71,42,D
100116,Male,Main Campus,CNET,discontinuous,2019,2023,2025,78.25,,78,School B,2.34,2.64,75,35,75,46,C
100117,Female,West Campus,IT,graduate,2021,2026,2025,79.65,92,59,School B,3.2,2.89,79,49,79,65,B
100118,Female,North Campus,IT,graduate,2016,2020,2020,78.06,86,82,School C,3.14,,78,97,78,68,B
100119,Male,West Campus,CS,discontinuous,2017,2021,2023,98.32,92,61,School D,3.97,4,81,75,81,,B
100120,Female,Main Campus,CS,graduate,2017,2022,2020,90.42,89,82,School A,4.76,4,75,99,75,91,A
100121,Male,North Campus,CNET,regular,2016,2021,2019,83.44,69,58,School B,2.62,3.02,74,55,74,60,C
100122,Female,North Campus,IT,graduate,2020,2024,2023,74.55,99,95,School D,2.67,2.49,35,35,35,52,C
100123,Male,West Campus,CNET,discontinuous,2020,2024,2023,88.15,71,99,School C,3.5,3.11,60,61,60,66,B
100124,Male,North Campus,IT,regular,2015,2019,2018,69.4,59,97,School C,3.88,3.61,60,93,60,84,B
100125,Female,West Campus,IT,graduate,2017,2020,2022,67.34,58,83,School D,1.06,0.99,35,35,35,42,D
100126,Female,North Campus,CNET,regular,2016,2021,2022,73.91,100,87,School B,4.01,4,68,99,68,75,A
100127,Male,North Campus,CS,graduate,2015,2018,2019,83.15,58,54,School D,4.39,4,90,94,90,120,A
100128,Female,North Campus,IT,regular,2018,2023,2024,95.52,71,67,School B,3.98,3.49,91,99,91,78,B
100129,Female,North Campus,CS,discontinuous,2021,2025,2026,88.52,59,88,School A,4.67,4,75,99,75,98,A
100130,Female,West Campus,CNET,discontinuous,2019,2024,2025,72.21,57,87,School A,2.71,2.63,56,52,56,63,C
100131,Male,West Campus,CNET,regular,2015,2021,2021,98.42,79,59,School D,2.27,1.99,42,81,42,62,C
100132,Male,Main Campus,CS,discontinuous,2015,2021,2019,98.37,59,100,School A,2.46,2.08,65,35,65,45,C
100133,Male,West Campus,CNET,graduate,2019,2025,2023,98.47,85,74,School A,4.61,4,85,83,85,99,A
100134,Male,Main Campus,CS,discontinuous,2016,2021,2020,77.84,63,52,School B,2.74,3.18,35,54,35,53,C
100135,Male,North Campus,CNET,regular,2021,2025,2026,91.65,59,65,School D,1.76,1.58,47,40,47,43,D
100136,Male,Main Campus,CS,discontinuous,2021,2026,2024,77.77,79,55,School C,2.89,,65,52,65,61,C
100137,Male,West Campus,CNET,discontinuous,2015,2019,2020,81.86,78,67,School C,3,3.2,70,78,70,68,B
100138,Male,North Campus,IT,regular,2019,2024,2023,62.63,89,94,School C,3.92,3.78,98,64,99,78,B
100139,Male,West Campus,IT,discontinuous,2022,2028,2027,84.23,62,79,School A,2.23,2.7,35,75,35,47,C
100140,Female,West Campus,IT,graduate,2017,2021,2021,93.59,91,83,School D,3.76,4,96,80,96,85,B
100141,Male,North Campus,CNET,graduate,2020,2025,2025,82.15,98,97,School B,2.82,2.57,55,60,55,47,C
100142,Female,North Campus,IT,graduate,2021,2024,2025,81.64,81,55,School D,4.2,4,98,59,99,83,A
100143,Female,North Campus,CNET,regular,2016,2021,2021,99.93,70,85,School B,4.39,4,98,99,99,90,A
100144,Female,North Campus,CNET,regular,2017,2023,2020,92.58,98,95,School A,3.72,3.5,,99,82,85,B
100145,Male,Main Campus,CS,discontinuous,2021,2024,2027,68.22,62,98,School B,3.17,2.71,47,66,47,71,B
100146,Male,Main Campus,IT,regular,2017,2023,2023,96.43,98,94,School B,2.75,2.86,35,45,35,51,C
100147,Male,Main Campus,CS,graduate,2018,2023,2021,96.19,66,64,School B,4.45,4,69,71,69,92,A
100148,Male,Main Campus,CNET,graduate,2016,2020,2020,86.7,81,72,School B,2.05,1.6,44,91,44,63,C
100149,Female,West Campus,IT,discontinuous,2021,2027,2024,95.36,,71,School C,4.5,,70,81,70,67,A
100150,Male,Main Campus,CS,discontinuous,2021,2024,2025,75.13,51,85,School B,4.51,4,92,78,92,90,A
100151,Male,North Campus,CS,regular,2016,2021,2020,98.62,53,68,School D,4.17,3.91,98,69,99,89,A
100152,Male,North Campus,CS,discontinuous,2020,2026,2026,73.56,93,67,School C,1.29,0.93,68,35,68,44,D
100153,Male,Main Campus,IT,regular,2017,2021,2022,94.87,61,79,School D,3.91,3.9,73,99,73,81,B
100154,Male,Main Campus,CNET,discontinuous,2015,2020,2018,81.5,70,85,School C,2.09,2.58,50,35,50,57,C
100155,Female,Main Campus,CS,graduate,2016,2021,2020,75.56,77,60,School D,2.44,2.18,61,64,61,55,C
100156,Male,North Campus,CS,graduate,2019,2023,2024,82.33,,84,School D,2.63,2.8,51,35,51,47,C
100157,Female,North Campus,CS,regular,2016,2019,2022,81.69,60,89,School B,3.16,3.42,80,83,80,67,B
100158,Male,North Campus,IT,graduate,2017,2022,2022,96.81,50,61,School C,2.27,2.01,67,58,67,58,C
100159,Female,West Campus,CS,regular,2021,2026,2025,89.03,62,86,School A,2.76,2.99,36,42,36,45,C
100160,Male,West Campus,CS,regular,2015,2021,2020,64.7,74,89,School B,2.01,1.88,47,35,47,51,C
100161,Male,Main Campus,CNET,graduate,2021,2024,2024,88.96,93,77,School B,4.02,4,85,93,85,81,A
100162,Female,West Campus,CS,discontinuous,2019,2025,2022,98.83,98,56,School D,2.35,2.48,35,35,35,59,C
100163,Female,North Campus,CNET,discontinuous,2020,2026,2024,87.86,90,57,School B,2.27,2.31,59,73,59,55,C
100164,Female,Main Campus,CNET,graduate,2022,2027,2028,78.81,66,89,School B,2.59,2.18,52,,52,46,C
100165,Male,West Campus,CNET,discontinuous,2015,2019,2020,90.25,66,57,School B,3.5,3.84,87,92,87,71,B
100166,Female,West Campus,CS,regular,2021,2026,2024,65.63,66,60,School C,3.98,3.8,59,83,59,76,B
100167,Male,West Campus,CS,graduate,2018,2021,2022,87.7,60,87,School D,2.03,1.72,35,44,35,51,C
100168,Male,North Campus,CNET,graduate,2018,2023,2023,87.88,95,73,School C,3.93,3.47,,99,52,82,B
100169,Female,North Campus,IT,graduate,2021,2027,2025,65.61,94,98,School D,2.42,2.51,36,91,36,62,C
100170,Female,Main Campus,IT,discontinuous,2015,2018,2020,68.14,89,77,School A,3.97,4,70,99,70,75,B
100171,Male,West Campus,CS,regular,2020,2026,2024,88.61,87,98,School A,4.04,3.56,98,97,99,81,A
100172,Male,Main Campus,IT,discontinuous,2015,2020,2020,95.47,66,93,School D,2.02,2.03,35,52,35,52,C
100173,Female,West Campus,CNET,discontinuous,2018,2023,2023,61.88,62,73,School D,2.45,2.18,55,57,55,47,C
100174,Female,Main Campus,CNET,regular,2019,2023,2025,94.73,87,,School D,2.53,2.68,43,62,43,47,C
100175,Female,West Campus,CS,discontinuous,2020,2024,2026,98.91,89,56,School A,3.21,2.88,43,84,43,65,B
100176,Male,Main Campus,IT,discontinuous,2018,2024,2022,86.55,57,58,School C,1.67,1.86,35,35,35,36,D
100177,Male,North Campus,CS,discontinuous,2017,2023,2023,97.47,69,82,School B,2.21,2.1,35,68,35,50,C
100178,Male,West Campus,CS,graduate,2017,2022,2022,61.54,73,93,School B,1.32,1.76,38,62,38,43,D
100179,Male,North Campus,CNET,regular,2015,2019,2018,72.42,89,70,School D,3.58,3.22,83,46,83,72,B
100180,Male,North Campus,CNET,graduate,2016,2021,2021,86.84,82,63,School D,3.87,3.71,98,77,99,88,B
100181,Male,Main Campus,IT,graduate,2016,2019,2022,90.2,73,,School B,4.47,4,72,99,72,90,A
100182,Female,North Campus,CNET,regular,2022,2027,2025,86.38,62,89,School B,4,4,98,89,99,79,A
100183,Male,North Campus,IT,regular,2020,2024,2026,89.97,94,53,School D,3.58,3.96,69,48,69,68,B
100184,Male,Main Campus,CS,discontinuous,2020,2025,2023,89.92,73,73,School C,1.98,1.74,51,68,51,43,D
100185,Male,North Campus,CS,graduate,2017,2022,2022,63.62,62,73,School B,1.58,1.74,60,65,60,42,D
100186,Female,Main Campus,CS,graduate,2017,2022,2021,66.66,99,66,School B,1,1.32,62,43,62,41,D
100187,Male,West Campus,CNET,graduate,2017,2020,2020,72.76,76,93,School D,3.54,3.6,71,89,71,70,B
100188,Male,West Campus,IT,regular,2015,2019,2021,88.84,74,54,School C,2.51,2.54,35,59,35,52,C
100189,Female,West Campus,IT,discontinuous,2021,2027,2026,73.64,75,74,School D,1.37,1.11,36,35,36,37,D
100190,Male,North Campus,IT,graduate,2016,2022,2022,73.44,54,50,School C,2.75,2.34,68,65,68,62,C
100191,Male,West Campus,IT,graduate,2021,2025,2024,96.55,77,72,School A,4.5,4,70,62,70,78,A
100192,Male,Main Campus,IT,graduate,2019,2023,2025,64.33,60,86,School B,2.03,2.43,63,56,63,55,C
100193,Male,West Campus,IT,discontinuous,2018,2021,2024,86.54,79,85,School C,2.74,2.87,76,89,76,62,C
100194,Male,Main Campus,CNET,graduate,2022,2028,2027,67.97,52,57,School C,3.97,3.81,72,78,72,88,B
100195,Female,Main Campus,IT,graduate,2016,2022,2021,73.55,92,60,School B,3.87,3.72,98,99,99,88,B
100196,Female,Main Campus,CNET,discontinuous,2015,2018,2021,63.81,82,58,School B,4.43,4,97,73,97,99,A
100197,Female,North Campus,CS,discontinuous,2016,2022,2020,69.9,50,76,School C,2.53,2.93,60,35,,55,C
100198,Male,Main Campus,CNET,regular,2019,2023,2023,94.34,57,52,School B,2.19,2.58,35,54,35,47,C
100199,Male,West Campus,CS,discontinuous,2020,2023,2024,97.75,64,73,School B,4.46,4,92,82,92,91,A
100200,Male,Main Campus,IT,graduate,2021,2027,2027,98.02,61,69,School A,4.02,4,59,70,59,83,A
100201,Female,West Campus,CS,graduate,2015,2018,2018,65.64,50,59,School B,4.14,3.72,98,71,99,88,A
100202,Male,Main Campus,CNET,discontinuous,2022,2025,2025,65.52,73,91,School B,1.53,1.19,64,35,64,44,D
100203,Male,North Campus,CNET,regular,2017,2020,2020,71.79,93,88,School B,4.08,4,78,99,78,87,A
100204,Female,Main Campus,CNET,discontinuous,2015,2019,2021,97.87,90,88,School D,4.08,4,75,60,75,78,A
100205,Male,North Campus,IT,graduate,2020,2025,2026,62.88,66,94,School A,4.03,3.54,52,81,52,81,A
100206,Female,West Campus,CS,discontinuous,2021,2025,2027,87.8,91,63,School B,3.82,3.42,98,86,98,87,
100207,Female,West Campus,CS,graduate,2015,2018,2020,88.13,58,66,School A,4.13,4,94,52,94,80,A
100208,Female,Main Campus,CNET,regular,2016,2019,2019,73.57,77,78,School D,2.39,1.9,73,46,73,47,C
100209,Male,Main Campus,CNET,graduate,2022,2027,2025,83.29,71,66,School D,3.03,2.69,93,46,93,71,B
100210,Male,West Campus,CNET,regular,2021,2024,2026,87.36,82,74,School A,2.22,2.27,35,56,35,58,C
100211,Male,North Campus,CS,regular,2022,2028,2026,86.56,71,90,School D,2.69,2.88,44,35,44,47,C
100212,Male,West Campus,CNET,discontinuous,2020,2026,2025,80.4,80,69,School D,2.06,2.21,45,61,45,48,C
100213,Male,West Campus,CNET,discontinuous,2022,2028,2027,82.24,56,87,School D,1.15,0.87,57,58,57,44,D
100214,Male,West Campus,CS,regular,2015,2020,2018,83.36,85,82,School B,3.42,3.63,82,81,82,69,B
100215,Male,West Campus,CS,discontinuous,2021,2026,2026,82.83,84,94,School A,2.8,2.54,48,72,48,59,C
100216,Female,West Campus,IT,regular,2015,2018,2018,98.75,69,74,School D,1.63,1.46,36,39,36,37,D
100217,Male,North Campus,IT,graduate,2021,2027,2024,63.39,66,92,School B,2.2,2.45,35,37,35,51,C
100218,Female,North Campus,IT,discontinuous,2015,2020,2018,64.63,65,53,School D,2.05,2.2,73,63,73,46,C
100219,Male,North Campus,CS,regular,2019,2022,2025,90.61,95,53,School B,4.01,4,98,68,99,88,A
100220,Male,North Campus,CNET,regular,2017,2020,2020,97.95,83,70,School A,2.04,2.2,55,40,55,58,C
100221,Male,West Campus,IT,graduate,2018,2024,2021,99.39,62,75,School B,2.55,2.62,57,82,57,63,C
100222,Female,North Campus,IT,graduate,2019,2022,2023,63.97,93,90,School A,3.81,3.4,85,57,85,77,B
100223,Female,Main Campus,CS,regular,2019,2024,2023,87.65,95,83,School D,2.81,2.68,61,59,61,59,C
100224,Female,Main Campus,CS,graduate,2019,2023,2022,64.02,64,56,School A,4.54,4,64,91,64,94,A
100225,Female,West Campus,CS,graduate,2021,2027,2026,81.73,93,57,School D,4.5,4,98,99,99,99,A
100226,Male,West Campus,CS,graduate,2015,2021,2019,97.98,60,97,School D,2.77,3.24,58,37,58,62,C
100227,Female,Main Campus,CNET,regular,2017,2020,2020,60.28,93,92,School C,2.23,2.12,76,60,76,50,C
,Male,Main Campus,CNET,discontinuous,2017,2021,2023,94.05,94,69,School C,2.28,2.67,71,35,71,50,C
100229,Male,West Campus,IT,discontinuous,2018,2023,2024,94.41,68,81,School D,4.72,4,74,65,74,92,A
100230,Female,West Campus,IT,discontinuous,2017,2022,2022,82.88,50,51,School B,2.28,2.57,71,65,71,61,C
100231,Female,North Campus,CNET,graduate,2018,2021,2024,99.83,74,87,School A,3.91,3.91,59,99,59,87,B
100232,Female,North Campus,IT,regular,2015,2021,2021,93.69,91,51,School B,3.87,3.95,84,93,84,76,B
100233,Female,North Campus,IT,graduate,2017,2021,2020,89.16,62,56,School C,,4,68,99,68,93,A
100234,Female,West Campus,CNET,regular,2019,2025,2022,75.67,60,84,School C,3.72,3.42,58,99,58,81,B
100235,Female,Main Campus,CS,discontinuous,2020,2026,2025,91.19,52,58,School B,3.43,3.65,64,63,64,68,B
100236,Female,West Campus,CS,graduate,2022,2028,2026,87.59,85,75,School A,3.39,3.17,49,97,49,71,B
100237,Female,Main Campus,CS,regular,2019,2023,2025,96.23,86,70,School C,1.28,0.8,46,35,46,40,D
100238,Male,West Campus,CNET,graduate,2021,2027,2024,99.29,88,67,School A,1.3,1.45,43,35,43,41,D
100239,Female,North Campus,IT,graduate,2016,2022,2020,96.56,94,64,School C,2.85,2.53,79,65,79,59,C
100240,Female,North Campus,IT,graduate,2021,2025,2025,71.07,51,84,School A,3.59,4,78,61,78,67,B
100241,Male,Main Campus,CNET,graduate,2022,2025,2025,91.44,60,72,School B,3.94,4,98,76,99,89,
100242,Female,North Campus,IT,graduate,2020,2024,2026,89.69,75,89,School A,4.7,4,85,80,85,92,A
100243,Male,Main Campus,IT,discontinuous,2016,2022,2019,97.05,76,60,School B,1.74,1.61,35,35,35,41,D
100244,Male,North Campus,IT,graduate,2018,2023,2024,61.51,87,83,School D,0.5,0.02,98,99,99,91,E
